statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;437;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;32;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;720;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;07;Rheinland-Pfalz;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;694;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;547;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;729;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;30555;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;750;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1042;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;2;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;205;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;3124;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;507;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;1;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;210;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;1240;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;41710;EUR mn;SLD001;Debts;e
